question_text,answer_correct,answer_incorrect1,answer_incorrect2,answer_incorrect3,difficulty
What is the general limit on net worth increases in one generation?,$10 million,$100 million,$5 million,$250 million,0
An business accelerator focuses on,Growth,Ideation,Product / Market Fit,Pivoting,1
A business incubator primarily provides,Tools and advice to start,Help raising a Series B,Marketing and growth,Government grants,2
"In startup terms, a ""runway"" is",The time before cash runs out,A place planes land,The time from idea to market,The product feedback loop,3
A viral k-factor would be,1.5,1,0.9,0.1,4
Stock options are a,Chance to buy equity,Obligation to buy equity,Chance to sell equity,Debt,0
Treasury stock is stock that the company has,Bought back,Issued to investors,Given to founders,Sold to the government,1
Which is the strongest legal idea protection?,Utility patent,Copyright,Provisional Patent,Design patent,2
What is the typical forecasting period for a startup?,12 months,3 months,5 years,3 years,3
Depreciation is a _____ expense,Noncash,Cash,Imaginary,"Bad, very bad",4
An in-depth source for industry data is,IBISWorld,Yahoo,The Yellow Pages,Chamber of Commerce,0
A vesting schedule for employees shows how much and when they get,Equity,Cash,Promotions,New computers,1
Regulation D deals with,Raising from investors,Cash minimums in the bank,Health insurance policies,Medical policies,2
Debt is good when expected profits exceed the,Interest,Principle,Equity hook,Debt is always bad,3
Coworking is,Shared office space,A verb for your co-workers,Working together,Something with a cow,4
Which entity allows pass through taxation?,S Corporation,C Corporation,LLC,Sole Proprietorship,0
What's a base tax rate when forecasting?,35%,40%,5%,15%,1
Benefits can add up to what amount to an employee's salary?,30%,$500,4%,15%,2
Which state generally has the best environment for business entities?,Delaware,Washington,California,New York,3
How long should your elevator pitch be?,30 seconds,1 minute,3 minutes,15 seconds,4
What percent of 5 year forecasts are accurate?,0%,50%,25%,90%,0
Which US government agency helps with startups?,SBA,IRS,FCC,FAA,1
What is the average success fee an investment bank charges to raise equity?,3-5%,7-8%,"$5,000",1-2%,2
A convertible note values the company at,Nothing this round,$Investment/Percent Equity$,$Equity/Investment$,$1 million,3
What is a Capped Note?,Convertible debt with a ceiling on valuation,Convertible debt with minimum equity,A maximum interest rate,Optional dividends,4
"Simply, post money valuation is",$Pre-money + New cash$,Impossible to calculate,Based on the next round,$New cash-Expenses+Revenue$,0
Which class of investment always has voting rights?,Common stock,Preferred Stock,Senior Debt,Office Leases,1
Liquidation preference determines what during a liquidation event?,Who gets paid what and when,How founders get equity,The interest rate on dividends,The board seats investors get,2
Participating preferred allows what?,A double dip on exit,Board meeting votes,Onsite office space,Decision power in marketing,3
"""Pro-rata"" is Latin for",In proportion,Professional rates,For free,Highest grade,4
Your 3 fellow Board members can fire you as CEO if,They vote on it,They ask HR,They never can,They control 51% equity,0
Venture capital funds last for,10 years,3 years,Forever,20 years,1
"""Limited Partners"" or ""LPs"" are",Passive investors in a VC fund,Limited to just Board seats,Another term for VCs,Who the CEO reports to,2
New VC funds typically need to invest their cash within,5 years,24 months,2 weeks,At IPO,3
What percentage of a VC fund is the partners own money?,1-5%,5-10%,50-70%,0%,4
How do you monitor project progress to a plan?,Gantt chart,Flow diagrams,Network map,Capacity loading graph,0
Local governments spend more on this than state govenments,Education,Corrections,Hospitals,Public Welfare,1
What is the most costly function of state and local governments ?,Education,Social Security,Highways,Police Protection,2
State governments administer all of the following health and welfare programs except,Social Security,Unemployment Compensation,Medicaid,Temporary Assistance for Needy Families,3
The cheapest day to buy airline tickets is generally,Tuesday,Wednesday,Friday,Monday,4
"""Bootstrapping"" means",Self-funding,Raising early venture capital,Listing on the OTCBB,Getting a bank loan,0
"In mobile development, ""APK"" refers to",An Android application format,An iOS app,App store ranking,An over budget project,1
"A ""churn rate"" is an app's rate of user",abandonment,adoption,subscription,sharing,2
A CDN will help your app be delivering this faster,Content,Subscribers,Downloads,Pricing,3
"""DAU"" is a metric of",Daily active users,Daily added users,Down-state active UI,Dynamic aggregate users,4
